district name,amenity type,source node,amenity type
Friedrichshain-Kreuzberg,slipway,36,96
Neukölln,marina,36,155
Friedrichshain-Kreuzberg,water_park;sauna,36,42
Marzahn-Hellersdorf,indoor_play,36,47
Lichtenberg,ceramic_painting,34,39
Marzahn-Hellersdorf,nature_reserve,33,45
Neukölln,bowling_alley,33,84
Neukölln,parklet,33,959
Marzahn-Hellersdorf,gymnasium,33,45
Tempelhof-Schöneberg,wellness,32,55
Lichtenberg,marina,32,148
Lichtenberg,slipway,32,70
Neukölln,pit,32,50
Lichtenberg,nature_reserve,32,67
Treptow-Köpenick,sauna,32,60
Neukölln,hackerspace,32,165
Reinickendorf,stadium,31,63
Treptow-Köpenick,dance,31,133
Friedrichshain-Kreuzberg,indoor_playground,31,36
Friedrichshain-Kreuzberg,disc_golf_course,31,36
Spandau,miniature_golf,31,59
Reinickendorf,escape_game,31,45
Mitte,schoolyard,30,36
Steglitz-Zehlendorf,indoor_play,30,36
Friedrichshain-Kreuzberg,bird_hide,30,175
Lichtenberg,music_venue,30,81
Mitte,indoor_play,29,36
Steglitz-Zehlendorf,trampoline_park,29,35
Neukölln,music_venue,28,131
Reinickendorf,event_location,28,38
Charlottenburg-Wilmersdorf,hackerspace,28,105
Reinickendorf,parklet,28,131
Neukölln,horse_riding,28,53
Neukölln,slipway,28,38
Reinickendorf,hackerspace,28,106
Lichtenberg,firepit,27,39
Treptow-Köpenick,nature_reserve,27,56
Spandau,nature_reserve,27,28
Tempelhof-Schöneberg,water_park;sauna,27,40
Reinickendorf,firepit,27,47
Neukölln,disc_golf_course,26,40
Lichtenberg,trampoline_park,26,31
Charlottenburg-Wilmersdorf,indoor_play,26,30
Mitte,sport,26,32
Tempelhof-Schöneberg,parket,26,37
Charlottenburg-Wilmersdorf,common,26,31
Mitte,parket,26,44
Reinickendorf,bowling_alley,24,24
Treptow-Köpenick,hammock,24,50
Neukölln,concert_location,23,35
Treptow-Köpenick,horse_riding,23,24
Tempelhof-Schöneberg,horse_riding,23,24
Lichtenberg,parket,23,30
Marzahn-Hellersdorf,trampoline_park,22,26
Mitte,common,22,25
Lichtenberg,tanning_salon,21,28
Reinickendorf,nature_reserve,21,32
Steglitz-Zehlendorf,amusement_arcade,21,27
Friedrichshain-Kreuzberg,golf_course,20,21
Friedrichshain-Kreuzberg,common,20,21
Tempelhof-Schöneberg,bird_hide,19,100
Treptow-Köpenick,bandstand,19,24
Neukölln,parket,19,30
Treptow-Köpenick,cultural_institution,18,22
Friedrichshain-Kreuzberg,seat,18,23
Spandau,stadium,18,18
Spandau,common,17,21
Charlottenburg-Wilmersdorf,high_ropes_course,17,35
Tempelhof-Schöneberg,schoolyard,17,23
Mitte,music_venue,17,63
Friedrichshain-Kreuzberg,bandstand,17,27
Neukölln,nature_reserve,17,27
Tempelhof-Schöneberg,grandstand,17,54
Charlottenburg-Wilmersdorf,golf_course,15,18
Neukölln,sport,15,25
Reinickendorf,ice_rink,15,36
Mitte,indoor_playground,15,18
Steglitz-Zehlendorf,golf_course,14,18
Neukölln,indoor_playground,14,24
Treptow-Köpenick,seat,14,15
Mitte,wellness,14,18
Steglitz-Zehlendorf,grandstand,13,45
Reinickendorf,horse_riding,13,39
Mitte,hammock,13,14
Marzahn-Hellersdorf,stadium,13,15
Spandau,golf_course,13,13
Treptow-Köpenick,schoolyard,13,27
Mitte,golf_course,12,15
Neukölln,construction,12,15
Treptow-Köpenick,firepit,12,21
Steglitz-Zehlendorf,common,12,16
Mitte,disc_golf_course,12,15
Neukölln,escape_game,11,58
Neukölln,ceramic_painting,11,13
Friedrichshain-Kreuzberg,indoor_play,11,18
Spandau,table,11,58
Charlottenburg-Wilmersdorf,nature_reserve,11,13
Neukölln,seat,10,11
Reinickendorf,paddling_pool,10,10
Marzahn-Hellersdorf,hackerspace,10,10
Treptow-Köpenick,table,10,22
Reinickendorf,common,10,10
Charlottenburg-Wilmersdorf,parklet,9,26
Neukölln,grandstand,9,36
Treptow-Köpenick,amusement_arcade,9,17
Treptow-Köpenick,parklet,9,109
Charlottenburg-Wilmersdorf,beach_resort,9,11
Treptow-Köpenick,miniature_golf,9,22
Treptow-Köpenick,bleachers,9,36
Mitte,ceramic_painting,8,8
Treptow-Köpenick,hackerspace,8,35
Reinickendorf,hammock,7,7
Charlottenburg-Wilmersdorf,indoor_playground,7,8
Steglitz-Zehlendorf,swimming_area,7,10
Tempelhof-Schöneberg,table,7,14
Treptow-Köpenick,concert_location,7,7
Lichtenberg,amusement_arcade,7,7
Charlottenburg-Wilmersdorf,pit,6,8
Lichtenberg,seat,6,6
Charlottenburg-Wilmersdorf,arena,6,9
Lichtenberg,miniature_golf,5,10
Treptow-Köpenick,tanning_salon,5,6
Spandau,beach_resort,5,5
Tempelhof-Schöneberg,swimming_area,5,8
Spandau,high_ropes_course,5,5
Charlottenburg-Wilmersdorf,water_park;sauna,5,7
Spandau,amusement_arcade,5,5
Mitte,paddling_pool,5,5
Lichtenberg,gymnasium,4,5
Treptow-Köpenick,ceramic_painting,4,4
Treptow-Köpenick,bowling_alley,4,10
Treptow-Köpenick,escape_game,4,25
Lichtenberg,sport,4,4
Neukölln,arena,4,4
Mitte,concert_location,4,4
Treptow-Köpenick,music_venue,4,16
Mitte,high_ropes_course,4,6
Treptow-Köpenick,pit,4,4
Marzahn-Hellersdorf,bleachers,4,4
Neukölln,cultural_institution,4,5
Treptow-Köpenick,sport,4,4
Tempelhof-Schöneberg,flightsimulation,4,10
Steglitz-Zehlendorf,schoolyard,4,4
Treptow-Köpenick,parket,3,3
Tempelhof-Schöneberg,construction,3,3
Treptow-Köpenick,water_park,3,3
Tempelhof-Schöneberg,trampoline_park,3,3
Treptow-Köpenick,bird_hide,3,15
Spandau,bandstand,3,3
Steglitz-Zehlendorf,slipway,3,17
Marzahn-Hellersdorf,schoolyard,2,2
Mitte,nature_reserve,2,2
Spandau,flightsimulation,2,2
Charlottenburg-Wilmersdorf,event_location,2,2
Spandau,sauna,2,2
Mitte,table,2,4
Steglitz-Zehlendorf,bowling_alley,2,2
Steglitz-Zehlendorf,wellness,2,2
Marzahn-Hellersdorf,construction,2,2
Treptow-Köpenick,disc_golf_course,2,2
Neukölln,golf_course,1,1
Dahlwitz-Hoppegarten,fitness_centre,1,3
Neukölln,common,1,1
Treptow-Köpenick,crane,1,1
Tempelhof-Schöneberg,music_venue,1,1
Charlottenburg-Wilmersdorf,parket,1,1
Neukölln,water_park;sauna,1,1
Dahlwitz-Hoppegarten,garden,1,1
Spandau,horse_riding,1,1
Tempelhof-Schöneberg,sport,1,1
Dahlwitz-Hoppegarten,park,1,4
Lichtenberg,water_park,1,1
Dahlwitz-Hoppegarten,pitch,1,19
Dahlwitz-Hoppegarten,playground,1,6
Dahlwitz-Hoppegarten,track,1,2
Mitte,halfpipe,1,1
Mitte,bird_hide,1,5
Friedrichshain-Kreuzberg,halfpipe,1,1
Treptow-Köpenick,indoor_playground,1,1
Friedrichshain-Kreuzberg,hammock,1,1
Mitte,beach_resort,1,1
Marzahn-Hellersdorf,marina,1,6
Marzahn-Hellersdorf,escape_game,1,2
Treptow-Köpenick,arena,1,1
