district name,amenity type,source node,amenity type
Reinickendorf,parklet,92,734
Reinickendorf,event_location,91,174
Tempelhof-Schöneberg,wellness,91,200
Reinickendorf,stadium,90,382
Spandau,stadium,86,215
Friedrichshain-Kreuzberg,golf_course,85,125
Mitte,indoor_playground,84,143
Marzahn-Hellersdorf,nature_reserve,84,202
Lichtenberg,nature_reserve,83,314
Lichtenberg,music_venue,82,393
Spandau,nature_reserve,81,154
Tempelhof-Schöneberg,parket,81,171
Friedrichshain-Kreuzberg,nature_reserve,81,313
Mitte,common,81,139
Lichtenberg,trampoline_park,80,170
Friedrichshain-Kreuzberg,common,80,118
Neukölln,concert_location,80,184
Steglitz-Zehlendorf,grandstand,79,567
Spandau,common,79,193
Marzahn-Hellersdorf,trampoline_park,79,245
Lichtenberg,firepit,78,179
Neukölln,construction,77,150
Tempelhof-Schöneberg,bird_hide,75,730
Tempelhof-Schöneberg,water_park;sauna,72,159
Mitte,music_venue,71,458
Friedrichshain-Kreuzberg,bandstand,70,170
Neukölln,parket,66,162
Treptow-Köpenick,seat,66,146
Lichtenberg,parket,65,132
Steglitz-Zehlendorf,golf_course,64,177
Friedrichshain-Kreuzberg,slipway,62,280
Reinickendorf,ice_rink,60,226
Lichtenberg,tanning_salon,58,119
Tempelhof-Schöneberg,construction,58,172
Treptow-Köpenick,miniature_golf,56,224
Mitte,disc_golf_course,55,89
Neukölln,escape_game,53,770
Steglitz-Zehlendorf,swimming_area,53,189
Neukölln,sport,53,135
Marzahn-Hellersdorf,stadium,53,183
Mitte,wellness,53,99
Neukölln,hammock,51,212
Charlottenburg-Wilmersdorf,parklet,51,244
Treptow-Köpenick,table,51,212
Neukölln,ceramic_painting,51,124
Neukölln,indoor_playground,51,128
Treptow-Köpenick,bleachers,50,365
Neukölln,grandstand,49,332
Spandau,golf_course,49,175
Mitte,ceramic_painting,49,89
Treptow-Köpenick,amusement_arcade,49,188
Mitte,hammock,48,98
Reinickendorf,common,48,84
Reinickendorf,paddling_pool,47,83
Treptow-Köpenick,parklet,46,1061
Mitte,golf_course,46,71
Treptow-Köpenick,hackerspace,44,307
Steglitz-Zehlendorf,common,44,128
Charlottenburg-Wilmersdorf,pit,43,92
Friedrichshain-Kreuzberg,indoor_play,43,79
Neukölln,seat,41,85
Charlottenburg-Wilmersdorf,indoor_playground,38,79
Treptow-Köpenick,concert_location,38,82
Marzahn-Hellersdorf,hackerspace,36,98
Charlottenburg-Wilmersdorf,high_ropes_course,36,80
Reinickendorf,hammock,35,60
Spandau,table,35,352
Steglitz-Zehlendorf,schoolyard,34,66
Lichtenberg,amusement_arcade,34,90
Tempelhof-Schöneberg,swimming_area,33,70
Friedrichshain-Kreuzberg,seat,33,66
Neukölln,cultural_institution,30,59
Treptow-Köpenick,music_venue,29,186
Treptow-Köpenick,escape_game,28,260
Charlottenburg-Wilmersdorf,arena,28,65
Charlottenburg-Wilmersdorf,water_park;sauna,28,57
Treptow-Köpenick,tanning_salon,26,60
Neukölln,arena,26,57
Marzahn-Hellersdorf,bleachers,26,82
Charlottenburg-Wilmersdorf,beach_resort,25,47
Mitte,concert_location,24,43
Treptow-Köpenick,bowling_alley,24,96
Treptow-Köpenick,ceramic_painting,24,43
Steglitz-Zehlendorf,wellness,22,70
Mitte,paddling_pool,22,38
Treptow-Köpenick,water_park,21,48
Treptow-Köpenick,crane,20,52
Friedrichshain-Kreuzberg,ice_rink,16,42
Treptow-Köpenick,bird_hide,16,130
Charlottenburg-Wilmersdorf,disc_golf_course,16,43
Steglitz-Zehlendorf,bowling_alley,15,34
Treptow-Köpenick,sport,15,29
Steglitz-Zehlendorf,slipway,15,153
Tempelhof-Schöneberg,table,14,44
Treptow-Köpenick,parket,14,24
Treptow-Köpenick,pit,14,25
Spandau,horse_riding,11,15
Lichtenberg,water_park,11,18
Spandau,amusement_arcade,10,23
Spandau,beach_resort,10,23
Lichtenberg,seat,10,17
Treptow-Köpenick,disc_golf_course,10,19
Lichtenberg,halfpipe,10,23
Spandau,high_ropes_course,10,23
Neukölln,water_park;sauna,9,14
Lichtenberg,miniature_golf,9,32
Marzahn-Hellersdorf,marina,9,134
Tempelhof-Schöneberg,flightsimulation,9,20
Marzahn-Hellersdorf,schoolyard,8,23
Treptow-Köpenick,indoor_playground,8,13
Lichtenberg,gymnasium,8,11
Lichtenberg,sport,8,14
Neukölln,golf_course,8,13
Spandau,bandstand,7,19
Neukölln,trampoline_park,7,18
Lichtenberg,indoor_play,6,12
Steglitz-Zehlendorf,escape_game,6,15
Mitte,nature_reserve,6,11
Friedrichshain-Kreuzberg,halfpipe,6,8
Tempelhof-Schöneberg,sport,6,9
Spandau,sauna,5,14
Treptow-Köpenick,arena,5,9
Mitte,high_ropes_course,5,12
Marzahn-Hellersdorf,escape_game,5,35
Mitte,table,5,12
Spandau,flightsimulation,5,14
Reinickendorf,swimming_area,5,8
Mitte,bird_hide,4,25
Charlottenburg-Wilmersdorf,event_location,4,7
Tempelhof-Schöneberg,music_venue,4,7
Lichtenberg,disc_golf_course,4,11
Treptow-Köpenick,construction,4,8
Lichtenberg,swimming_area,4,11
Mitte,halfpipe,3,4
Spandau,escape_game,3,4
Spandau,schoolyard,3,4
Marzahn-Hellersdorf,construction,3,7
Spandau,ice_rink,3,4
Marzahn-Hellersdorf,yes,2,3
Neukölln,common,2,5
Steglitz-Zehlendorf,indoor_playground,1,2
Reinickendorf,high_ropes_course,1,1
Friedrichshain-Kreuzberg,hammock,1,1
Lichtenberg,horse_riding,1,2
Steglitz-Zehlendorf,parklet,1,4
Marzahn-Hellersdorf,horse_riding,1,1
Mitte,beach_resort,1,3
Dahlwitz-Hoppegarten,garden,1,1
Marzahn-Hellersdorf,water_park,1,4
Charlottenburg-Wilmersdorf,parket,1,1
Reinickendorf,beach_resort,1,1
Dahlwitz-Hoppegarten,track,1,2
Dahlwitz-Hoppegarten,playground,1,6
Dahlwitz-Hoppegarten,pitch,1,19
Dahlwitz-Hoppegarten,park,1,4
Dahlwitz-Hoppegarten,fitness_centre,1,3
Spandau,bowling_alley,1,1
