district name,amenity type,source node,amenity type
Marzahn-Hellersdorf,bakery,73,1359
Friedrichshain-Kreuzberg,car_repair,73,3540
Marzahn-Hellersdorf,beverages,73,333
Marzahn-Hellersdorf,florist,73,1990
Spandau,bakery,73,2518
Tempelhof-Schöneberg,craft,73,705
Tempelhof-Schöneberg,motorcycle,73,597
Steglitz-Zehlendorf,pet,72,842
Friedrichshain-Kreuzberg,kitchen,72,1280
Friedrichshain-Kreuzberg,kiosk,72,11223
Friedrichshain-Kreuzberg,interior_decoration,72,3651
Friedrichshain-Kreuzberg,ice_cream,72,537
Friedrichshain-Kreuzberg,jewelry,72,6141
Spandau,newsagent,72,319
Friedrichshain-Kreuzberg,houseware,72,1396
Friedrichshain-Kreuzberg,hardware,72,672
Friedrichshain-Kreuzberg,hairdresser,72,31660
Friedrichshain-Kreuzberg,leather,72,479
Friedrichshain-Kreuzberg,greengrocer,72,1396
Mitte,trophy,72,90
Friedrichshain-Kreuzberg,glaziery,72,277
Friedrichshain-Kreuzberg,gift,72,5076
Steglitz-Zehlendorf,storage_rental,72,434
Friedrichshain-Kreuzberg,garden_centre,72,507
Friedrichshain-Kreuzberg,games,72,285
Friedrichshain-Kreuzberg,furniture,72,4900
Friedrichshain-Kreuzberg,funeral_directors,72,1851
Steglitz-Zehlendorf,ticket,72,363
Friedrichshain-Kreuzberg,laundry,72,1905
Friedrichshain-Kreuzberg,second_hand,72,1962
Friedrichshain-Kreuzberg,locksmith,72,1611
Friedrichshain-Kreuzberg,mall,72,1479
Steglitz-Zehlendorf,antiques,72,1034
Marzahn-Hellersdorf,mall,72,777
Steglitz-Zehlendorf,carpet,72,272
Steglitz-Zehlendorf,computer,72,496
Friedrichshain-Kreuzberg,wine,72,2181
Friedrichshain-Kreuzberg,video,72,374
Friedrichshain-Kreuzberg,vacant,72,6402
Friedrichshain-Kreuzberg,travel_agency,72,4531
Friedrichshain-Kreuzberg,toys,72,2122
Friedrichshain-Kreuzberg,tobacco,72,933
Friedrichshain-Kreuzberg,ticket,72,817
Friedrichshain-Kreuzberg,tattoo,72,3973
Friedrichshain-Kreuzberg,tailor,72,3415
Friedrichshain-Kreuzberg,supermarket,72,19482
Friedrichshain-Kreuzberg,stationery,72,2816
Lichtenberg,supermarket,72,5000
Friedrichshain-Kreuzberg,pottery,72,970
Friedrichshain-Kreuzberg,piercing,72,152
Friedrichshain-Kreuzberg,photo,72,1915
Friedrichshain-Kreuzberg,pet,72,761
Friedrichshain-Kreuzberg,pastry,72,1598
Friedrichshain-Kreuzberg,optician,72,5010
Friedrichshain-Kreuzberg,nutrition_supplements,72,312
Friedrichshain-Kreuzberg,newsagent,72,1772
Friedrichshain-Kreuzberg,musical_instrument,72,1674
Friedrichshain-Kreuzberg,music,72,2935
Friedrichshain-Kreuzberg,mobile_phone,72,6826
Friedrichshain-Kreuzberg,medical_supply,72,1525
Friedrichshain-Kreuzberg,massage,72,5281
Friedrichshain-Kreuzberg,sports,72,2292
Friedrichshain-Kreuzberg,shoes,72,5112
Friedrichshain-Kreuzberg,beauty,72,13590
Friedrichshain-Kreuzberg,doityourself,72,1155
Friedrichshain-Kreuzberg,confectionery,72,2113
Tempelhof-Schöneberg,seafood,72,517
Friedrichshain-Kreuzberg,bakery,72,23922
Friedrichshain-Kreuzberg,books,72,7717
Friedrichshain-Kreuzberg,coffee,72,1642
Friedrichshain-Kreuzberg,art,72,4172
Friedrichshain-Kreuzberg,convenience,72,30507
Friedrichshain-Kreuzberg,clothes,72,40604
Friedrichshain-Kreuzberg,chemist,72,4527
Friedrichshain-Kreuzberg,cosmetics,72,2753
Friedrichshain-Kreuzberg,charity,72,606
Tempelhof-Schöneberg,tea,72,1294
Friedrichshain-Kreuzberg,deli,72,4097
Friedrichshain-Kreuzberg,computer,72,1726
Friedrichshain-Kreuzberg,bed,72,459
Friedrichshain-Kreuzberg,electronics,72,1885
Friedrichshain-Kreuzberg,alcohol,72,2682
Friedrichshain-Kreuzberg,fabric,72,1193
Friedrichshain-Kreuzberg,butcher,72,2012
